% # columns="iteration, evaluation, sigma, void, void,  stds==sigma*sqrt(diag(C))", seed=1, Sun Feb 22 03:32:31 2026, <python>{}</python>
1 32 0.14774648322284584 0 0 0.15321118976214576 0.12027923412521953 0.14611424951096905
2 64 0.14162673856108268 0 0 0.12436095435404061 0.0916341926926271 0.11474527138802995
3 96 0.19250185694478084 0 0 0.17931375063180977 0.12728320743678903 0.16564815338911507
4 128 0.2086804121485777 0 0 0.18631615270328492 0.10360650203357216 0.15215568735763568
5 160 0.22049593707219572 0 0 0.17209858598011263 0.12068811299169016 0.1592805317445962
6 192 0.26642446602914105 0 0 0.19214943669756115 0.15693596468778648 0.22399109438631276
7 224 0.28481813822315494 0 0 0.21713400590926182 0.17577884799114765 0.21344370209230643
8 256 0.2823848065035425 0 0 0.1672110355474491 0.1545670131800691 0.18358419330762768
9 288 0.26591000414762694 0 0 0.13233215226207062 0.11660738045239238 0.14240774455632502
10 320 0.21157632012174765 0 0 0.09144737028284651 0.08172776821931407 0.08934409523494459
11 352 0.2105566411218449 0 0 0.0873532248392714 0.07245425785790217 0.07531654607091054
12 384 0.2550222773022459 0 0 0.09371941731922 0.07900342617236258 0.08348444298145366
13 416 0.2333451525991371 0 0 0.072337797232363 0.06727532796700533 0.07297069400691725
14 448 0.218703584292799 0 0 0.057666489020857616 0.0573366386740071 0.06504927610487635
15 480 0.19680179691764613 0 0 0.04921401849975077 0.05369066140120047 0.059421518156493096
16 512 0.18478854646962886 0 0 0.04706637055668176 0.04858511531799703 0.05935105695465452
17 544 0.1651620656816338 0 0 0.03548070900621116 0.04041152548458482 0.04663726051536319
18 576 0.17273388182780194 0 0 0.03406023761364194 0.037650519368069256 0.05181052701929463
19 608 0.15182722218588982 0 0 0.02595486850008627 0.026109156378074743 0.0491349124341992
20 640 0.15003893373646585 0 0 0.022342996460970824 0.022581722880730903 0.046891558265270326
21 672 0.14749540731179148 0 0 0.022034823385336667 0.017459583816231698 0.04172792755846122
22 704 0.1549991040596895 0 0 0.024587347351536275 0.014561024463494823 0.03987057644575098
23 736 0.1522040763767946 0 0 0.021838360816668817 0.014051851686077737 0.03946751768810929
24 768 0.15471526940981564 0 0 0.021829037192065616 0.013533421900346291 0.041444568278048474
25 800 0.14621468161462345 0 0 0.021855604710931033 0.01210988837038507 0.038385767909999494
26 832 0.11614380112783734 0 0 0.013973749730644377 0.008090550050401324 0.028132176162159475
27 864 0.11842625706755566 0 0 0.012597704104511649 0.007864422375969378 0.029361541742622715
28 896 0.09688425402817398 0 0 0.01033169647178295 0.005173910916102147 0.022611162411165744
29 928 0.0966301327297393 0 0 0.01065961950941283 0.004953266452138326 0.02279658821645185
30 960 0.09461213140588363 0 0 0.010547021703049766 0.004034082197584728 0.019432019494484892
31 992 0.07439972990885924 0 0 0.006228910813546237 0.0024290422727648725 0.013899263604388892
32 1024 0.08471167931951103 0 0 0.0056698983055388915 0.002801479057849523 0.012419332133642075
33 1056 0.09168103640232031 0 0 0.00609636204795538 0.003002795951945866 0.013205582501370772
34 1088 0.07333967265637016 0 0 0.004425367676778795 0.002406150528965834 0.010327647157298891
35 1120 0.09353060149924139 0 0 0.006218626797398726 0.0035122335228002246 0.012018167988182952
36 1152 0.08912785188314606 0 0 0.005679487282315017 0.0034893420766226226 0.011539103493849276
37 1184 0.10714144508194338 0 0 0.007488756409336757 0.004384421797855142 0.015589268442543186
38 1216 0.11326417396296798 0 0 0.007160147787125677 0.004132578603061664 0.01668390142250727
39 1248 0.09667413666632174 0 0 0.005096050742404724 0.0029762217365993143 0.01690167547876573
40 1280 0.10020306622891044 0 0 0.005650709313210683 0.002718975897051432 0.016939932339264406
41 1312 0.09387407080958411 0 0 0.005143428960396339 0.002553178159037943 0.014408331720076564
42 1344 0.08496594361397818 0 0 0.004563524596669666 0.002199647387618556 0.01192939356823765
43 1376 0.0871230933160373 0 0 0.004597712603831224 0.0026760569504512156 0.012487042118831566
44 1408 0.08366457742106505 0 0 0.004638260319561908 0.0022758189030677033 0.013773559088603643
45 1440 0.0881940207018291 0 0 0.0042429243888490835 0.00201316501370333 0.015639671818654787
46 1472 0.09118542074100486 0 0 0.004350437893128038 0.0019426877752743922 0.013298761872422855
47 1504 0.0837179061287422 0 0 0.0037922851247537623 0.0016878597773360765 0.011105451628667506
48 1536 0.0935441342167702 0 0 0.0040722878555481574 0.002147952010099775 0.011408213410031686
49 1568 0.09217804472401551 0 0 0.004606532937709744 0.0017745027705106684 0.009788041484332977
50 1600 0.08398874199559972 0 0 0.004157999037047013 0.0014543722556982597 0.008657416247187069
51 1632 0.08465239367312054 0 0 0.0038890077286169323 0.0013408123271287358 0.008716188224512766
52 1664 0.082354598284091 0 0 0.0039468889259417165 0.0012292178911138458 0.007895677042380192
53 1696 0.07762840600690722 0 0 0.003922855377682422 0.001089477736114433 0.006781067196967253
54 1728 0.06727634892122955 0 0 0.0031494389279818303 0.0008005864956171271 0.005576368188310757
55 1760 0.06158461017954517 0 0 0.002335251754240411 0.000772298674132923 0.005018929917763619
56 1792 0.06169597007069322 0 0 0.0023820869262193736 0.0007774296251532801 0.00464637508153391
57 1824 0.057157333562127405 0 0 0.0019739237896191455 0.0006685999043567261 0.004103891561097702
58 1856 0.048583221378835174 0 0 0.001677119608246241 0.0005307517513783487 0.0033296536748763676
59 1888 0.05262980001465723 0 0 0.001704648769694536 0.000553533160925341 0.0035492295184818426
60 1920 0.04937169803842078 0 0 0.00140549608000822 0.0004983326754890254 0.003067854016813425
61 1952 0.03922036476651909 0 0 0.001042906247419028 0.0003664672299613695 0.0021161846141361917
62 1984 0.04060197935148539 0 0 0.0009381105230152298 0.00038167456962744946 0.0019101434783182873
63 2016 0.0374097745173207 0 0 0.0008885565100480999 0.00033593438460355584 0.001514466663621801
64 2048 0.031191780268429396 0 0 0.0006645618579724884 0.00026750010106554493 0.0011223730818057443
65 2080 0.027673945656538666 0 0 0.0005535874933101672 0.00020708925697370296 0.0007927875254772854
66 2112 0.03420615128156776 0 0 0.000621166716733175 0.00031590392042780036 0.0012803479744532078
67 2144 0.035645410958885855 0 0 0.0007300599717899236 0.00036060551671916806 0.0014066486994596225
68 2176 0.03358251252891268 0 0 0.0006686441289940464 0.0002831366609449894 0.001059499770516092
69 2208 0.02955974760497691 0 0 0.0006045200223408152 0.00020098883714186032 0.0007871331314059291
70 2240 0.0292356117930887 0 0 0.0004966794871993025 0.00020513791334270012 0.0007356594592299897
71 2272 0.026399385231404664 0 0 0.0003942914098136754 0.00015828482358609916 0.0005615554985531528
72 2304 0.02627311393544756 0 0 0.0003638947410022434 0.0001694662281374002 0.0005020758645602138
73 2336 0.023282696656227106 0 0 0.00031852016199705724 0.000128539586673414 0.0003635727595641485
74 2368 0.022352954123233192 0 0 0.00030037277559303313 0.00011440838951541167 0.0003484242530293209
75 2400 0.020670061260514263 0 0 0.00027179153828806485 9.906152719709465e-05 0.00026921710587162417
76 2432 0.02389419195040151 0 0 0.00030046690781225245 0.00013910445927168966 0.0002933059374863611
77 2464 0.0243653565062607 0 0 0.0003432198464136738 0.00015534164000436225 0.00030007478358088437
78 2496 0.022221646714744483 0 0 0.0003223259821775562 0.000116671261092185 0.00021821981252782328
79 2528 0.02202262094647312 0 0 0.0002843923676637346 0.00011636374169207406 0.00020783950560830742
80 2560 0.019960463565868617 0 0 0.00024476941557282636 9.061111884199425e-05 0.00018676105595529104
81 2592 0.024540118686357755 0 0 0.000271829213111225 9.057340179299962e-05 0.0002684176174402162
82 2624 0.023430506290150033 0 0 0.00026188920448114834 7.407922508941452e-05 0.00024922246566252455
83 2656 0.02097945087267587 0 0 0.00020661199282475832 6.758193515253772e-05 0.00021232817423347947
84 2688 0.022807200237746992 0 0 0.00021613698992769694 7.06252956933168e-05 0.0002482380782440346
85 2720 0.02173916195222454 0 0 0.0001982417140715136 6.241597846276611e-05 0.0002228483025995857
86 2752 0.026459890811086895 0 0 0.00031340854632374714 8.56093900990912e-05 0.00027142457022716034
87 2784 0.023848954270164414 0 0 0.0002425202767763001 8.025269616102e-05 0.00027985360226008544
88 2816 0.03315945951841095 0 0 0.00038839114354063665 0.00012118950215748306 0.0004074385558028527
89 2848 0.032916406359644365 0 0 0.0003823887866839752 0.00010599043657511592 0.0003559662683433451
90 2880 0.03650477782231946 0 0 0.00046283625315061196 0.00011951629164146503 0.00043052430081876497
91 2912 0.03828358545005341 0 0 0.0005021383315644861 0.00012065890186574134 0.0005117384632109435
92 2944 0.03740397706936275 0 0 0.00046637373697386465 0.00010026419797382536 0.00046978335450660776
93 2976 0.0325849067538134 0 0 0.00035165547071817915 7.568481990472825e-05 0.00041193863903938764
94 3008 0.033984697263950626 0 0 0.0003959119984349953 7.8433893060009e-05 0.0004613386566481685
95 3040 0.03511184619423035 0 0 0.0004101719356126824 7.102411006173069e-05 0.0004226009747641165
96 3072 0.03649644159243508 0 0 0.0004138539106856498 6.527201754649503e-05 0.0004318892412463996
97 3104 0.031815328217843615 0 0 0.0003278811163174104 5.4822733888507295e-05 0.0003383717786879299
98 3136 0.03370235592423601 0 0 0.00033316183745301026 6.879431390308536e-05 0.00032511530287591907
99 3168 0.03549409419195922 0 0 0.00033099334630654173 7.19469022659322e-05 0.00026531152451796645
100 3200 0.031375096963749884 0 0 0.0002864456358104372 6.147265771979307e-05 0.00021788235433197508
101 3232 0.026954729117490694 0 0 0.00019740205353000666 4.3818271157178416e-05 0.00019167820336525262
